Column1;Column2;Column3;Column4;Column5;Column10;Column12;Column15;Column16;Column17;Column18;Column19;Column20
一;イチ、イツ;ひと-、ひと.つ;かず, い, いっ, いる, かつ, かづ, てん, はじめ, ひ, ひとつ, まこと;one;一: one, one radical (no. 1);一;いち;(none);指事 Ideographic;one;One down, 2041 to go. ,).;"To learn this one kanji, I recommend (#2000) this story : Bambi is in a cave, eating a side-dish of salad when trying to learn the kanjis. As he succeed to learn the kanji for ""one"", you get jealous and decide to shoot him with a slingshot. At this moment you hear the police coming, so you hurriedly burn all the proofs into a fire (so you remove the key-words Bambi, slingshot and fire from recommend). So that when the police arrives, the only remaining clue is a single horizontal bar."
二;ニ、ジ;ふた、ふた.つ、ふたたび;おと, つぐ, にい, は, ふ, ふたつ, ふだ, わ;two;二: two, two radical (no. 7);二;に・ふた;(none);指事 Ideographic;two;Two lines.;Roman numeral II, written on its side.
三;サン、ゾウ;み、み.つ、みっ.つ;か, さ, さい, さえ, さぶ, ざ, ざえ, ざぶ, そう, ぞ, ただ, みつ, みん, も, や;three;一: one, one radical (no.1)<br>一: one, one radical (no.1)<br>一: one, one radical (no.1);一;いち;(none);指事 Ideographic;three;One + two = three.;THREE measurements define the female shape: BUST, WAIST, and HIPS. Waist is the smallest, and for most women the HIPS are wider than the chest.
四;シ;よ、よ.つ、よっ.つ、よん;あ, つ, よつ;four;囗: box or enclosure radical (no. 31), box<br>八: eight, eight radical (no. 12);囗;くに・くにがまえ;(none);指事 Ideographic;four;FOUR year-olds often put their FOOT (human legs) in their MOUTH - but they are too young to realize.;I imagine a giant devouring a human in four bites. First the giant bites off the person´s head, then he bites the torso, then from the waist to the knees, and finally the giant plucks up the remaining portion of the human legs into his mouth. See the fourth bite falling in there?
五;ゴ;いつ、いつ.つ;い, さ, さつ, ち, ふ, み, め;five;二: two, two radical (no.2);二;に・ふた;(none);仮借 Loan;five;三 + two vertical lines = 5.;"This Kanji looks like a ""3"" Kanji with two added vertical lines. 3+2= 5."
六;ロク、リク;む、む.つ、むっ.つ、むい;く, むつ, ろっ, ろつ;six;亠: kettle lid radical (no. 8)<br>八: eight, eight radical (no. 12);八;はち・は・はちがしら;(none);仮借 Loan;six;Indicating 6 parts of the human body: head, body, 2 arms, 2 legs.;Six-Six-SIX ((666)) Mark of the Beast!! Imagine that dapper old beastly fellow summoning his top hat to himself. See it scamper over to him on a little pair of beastly legs.
七;シチ;なな、なな.つ、なの;し, しっ, な, ひち;seven;一: one, one radical (no.1)<br>乙: the latter, duplicate, strange, witty, fishhook radical (no. 5);一;いち;(none);仮借 Loan;seven;This kanji is our good old seven, turned upside down.;I wrote it upside down so I crossed it out.
八;ハチ;や、や.つ、やっ.つ、よう;な, は, はっ, はつ, やち, やつ;eight;八: eight, eight radical (no. 12);八;はち・は・はちがしら;(none);指事 Ideographic;eight;"Hachi (eight) begins with the sound of the katakana ""ha"", and it´s approximately the same character.";The valcano hasn´t erupted for 8 years.
九;キュウ、ク;ここの、ここの.つ;いちじく, いちのく, この, ひさし;nine;丿: katakana no radical (no. 4)<br>乙: the latter, duplicate, strange, witty, fishhook radical (no. 5);乙;おつ・おつにょう・つりばり;(none);象形 Pictographic;nine;Kinda of looks like the kanji of 1　一 with the kanji of 8 八added. So think of it as 　一＋八＝九.;Warning - naughty reminder A woman in the doggie style position, waiting for my NINE inches.
十;ジュウ、ジッ、ジュッ;とお、と;い, か, ぎ, さ, し, そ, そう, ち, とう, ね, ま, る, わ;ten;十: ten, ten radical (no. 24);十;じゅう・じゅうへん;(none);指事 Ideographic;ten;Two needles crossing marks the spot, or you can use the Roman character for ten (rotated 45 degrees).;I scared away ten vampires with a single cross!
